NASA Rotor 37 Axial-Flow Compressor Rotor - 70% span solution, M=1.47 
                     
            Surface Coordinates and Aerodynamic Data (Lower Surface)
      x                  y               p              M              Cp
 1.643608138E-02 4.597814288E-03 6.146963281E+04 1.458860517E+00 -1.007938161E-01
 1.911339723E-02 4.910623189E-03 6.275838281E+04 1.445626616E+00 -8.845824748E-02
 2.212928236E-02 5.263411440E-03 6.371279688E+04 1.436225295E+00 -7.932285964E-02
 2.552405186E-02 5.660902243E-03 6.438234375E+04 1.430024147E+00 -7.291413844E-02
 2.934210002E-02 6.108180620E-03 6.480468359E+04 1.427874088E+00 -6.887161732E-02
 3.363205492E-02 6.611480378E-03 6.505561719E+04 1.428281665E+00 -6.646974385E-02
 3.844723105E-02 7.176923100E-03 6.524958984E+04 1.428292513E+00 -6.461308897E-02
 4.384531453E-02 7.812431548E-03 6.544757031E+04 1.427318335E+00 -6.271807849E-02
 4.988887534E-02 8.524969220E-03 6.572249219E+04 1.424764633E+00 -6.008660048E-02
 5.664479733E-02 9.324078448E-03 6.609014844E+04 1.421144009E+00 -5.656749383E-02
 6.418448687E-02 1.021808665E-02 6.647033594E+04 1.417472005E+00 -5.292844400E-02
 7.258319110E-02 1.121610869E-02 6.674213281E+04 1.415318489E+00 -5.032687634E-02
 8.191959560E-02 1.232568081E-02 6.682735156E+04 1.415727735E+00 -4.951118678E-02
 9.227479249E-02 1.355344895E-02 6.670603125E+04 1.417993426E+00 -5.067243055E-02
 1.037311554E-01 1.490290835E-02 6.635676562E+04 1.422334075E+00 -5.401550606E-02
 1.163708270E-01 1.637328602E-02 6.575551562E+04 1.429334283E+00 -5.977050960E-02
 1.302735358E-01 1.796074212E-02 6.501612891E+04 1.437891483E+00 -6.684771925E-02
 1.455135942E-01 1.966192387E-02 6.430822656E+04 1.447233200E+00 -7.362356782E-02
 1.621566713E-01 2.147699520E-02 6.372790625E+04 1.456226587E+00 -7.917823642E-02
 1.802572459E-01 2.340351418E-02 6.328645312E+04 1.462985516E+00 -8.340370655E-02
 1.998547912E-01 2.543938532E-02 6.296623438E+04 1.467244267E+00 -8.646874875E-02
 2.209697068E-01 2.758699469E-02 6.269166406E+04 1.470611453E+00 -8.909685910E-02
 2.435998917E-01 2.985098958E-02 6.230675000E+04 1.475320339E+00 -9.278115630E-02
 2.677197456E-01 3.221495077E-02 6.164747266E+04 1.483749509E+00 -9.909158200E-02
